Year ,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,,,,,,,,,,,,,,,,,,
2012,2142,1674,1794,1830,1794,1716,1932,1290,1092,2346,1344,2106,1458,1866,2070,2028,1962,1308,,357,279,299,305,299,286,322,215,182,391,224,351,243,311,345,338,327,218
2013,1782,1656,1824,1860,1872,1812,2118,1656,1326,2244,1254,2052,1788,1866,1506,1992,1770,1698,,297,276,304,310,312,302,353,276,221,374,209,342,298,311,251,332,295,283
2014,1890,1326,1656,1512,1572,1782,1752,1668,1536,2202,1140,1746,1884,1644,1272,1848,1800,1542,,315,221,276,252,262,297,292,278,256,367,190,291,314,274,212,308,300,257
2015,1848,1344,1314,1722,1356,1638,1632,1410,1608,2190,1350,1818,1776,1680,1446,1752,2040,1860,,308,224,219,287,226,273,272,235,268,365,225,303,296,280,241,292,340,310
2016,2178,1524,1344,1656,1200,1362,1950,1548,2106,1872,1716,1704,1800,1482,1716,1956,1938,1608,,363,254,224,276,200,227,325,258,351,312,286,284,300,247,286,326,323,268
2017,2124,1656,1392,1668,1866,1386,1878,1542,1812,1638,1812,1740,1878,1722,1626,1830,1728,1560,,354,276,232,278,311,231,313,257,302,273,302,290,313,287,271,305,288,260
2018,1674,1596,1152,1800,1680,1344,1788,1086,1608,1740,2016,1710,1554,1866,1350,1608,1770,1344,,279,266,192,300,280,224,298,181,268,290,336,285,259,311,225,268,295,224
2019,1536,1728,1386,1644,1482,1350,1746,1164,1698,1500,1338,1590,1542,1650,1398,1488,1692,1674,,256,288,231,274,247,225,291,194,283,250,223,265,257,275,233,248,282,279
2020,696,990,876,834,816,762,1092,852,870,882,930,744,1008,984,1026,768,972,954,,116,165,146,139,136,127,182,142,145,147,155,124,168,164,171,128,162,159
2021,1380,1878,1500,1350,1722,1314,1614,1206,1548,1434,1620,1260,1656,1518,1422,1758,1542,1728,,230,313,250,225,287,219,269,201,258,239,270,210,276,253,237,293,257,288
