Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,086338,2013,null,null,null,null,null,null,64.4,54.2,81.8,44.6,53.0,40.6,null
IDCJAC0001,086338,2014,13.4,22.4,21.8,68.0,33.8,48.8,20.2,31.4,31.2,45.8,58.2,37.0,432.0
IDCJAC0001,086338,2015,47.4,37.8,23.0,36.8,37.6,27.8,58.0,38.2,30.6,12.2,43.0,46.8,439.2
IDCJAC0001,086338,2016,48.0,9.0,35.6,48.6,57.0,54.4,64.2,61.2,87.2,63.4,31.4,39.6,599.6
IDCJAC0001,086338,2017,31.6,40.2,26.4,123.4,25.0,16.8,30.4,53.8,39.6,40.4,46.0,128.4,602.0
IDCJAC0001,086338,2018,65.4,1.6,23.0,16.4,65.6,43.2,19.4,42.8,16.4,null,97.8,104.8,null
IDCJAC0001,086338,2019,11.2,18.6,12.0,7.2,53.4,49.8,45.2,51.4,41.0,24.0,54.4,6.2,374.4
IDCJAC0001,086338,2020,115.2,76.2,71.0,138.4,66.8,29.0,30.0,61.6,33.6,74.2,48.8,42.0,786.8
IDCJAC0001,086338,2021,88.0,9.2,54.8,37.0,66.4,43.8,31.2,49.6,68.6,110.4,96.6,27.0,682.6
IDCJAC0001,086338,2022,79.6,6.8,54.2,72.6,24.2,52.4,36.2,59.4,48.8,149.0,73.8,42.4,699.4
IDCJAC0001,086338,2023,20.2,23.6,48.8,null,null,null,null,null,null,null,null,null,null
